time_s,agent_id,source,current_exit,current_fed,route_rank,exit_id,path,path_length_m,k_ave_route,travel_time_s,fed_max_route,composite_cost,rejected,rejection_reason,queue_time_s,exit_count,exit_capacity
6.0,1,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,4,1.3
6.0,1,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
8.0,2,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,5,1.3
8.0,2,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
10.0,4,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,6,1.3
10.0,4,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
13.0,3,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,7,1.3
13.0,3,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
13.0,5,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,7,1.3
13.0,5,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
13.0,6,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,7,1.3
13.0,6,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
20.0,7,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,7,1.3
20.0,7,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
23.0,8,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,6,1.3
23.0,8,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
23.0,9,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,6,1.3
23.0,9,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
23.0,11,jps-checkpoints_0,exit_B_right,0.0,1,exit_B_right,jps-checkpoints_0 > exit_B_right,11.0,0.0,8.461538461538462,0.0,11.0,False,,0.0,6,1.3
23.0,11,jps-checkpoints_0,exit_B_right,0.0,2,exit_A_left,jps-checkpoints_0 > exit_A_left,18.0,0.0,13.846153846153845,0.0,18.0,False,,0.0,0,1.3
